V1	sign	V2
YDR076W	1	YML028W
YDR076W	1	YBR052C
YDR076W	1	YAL013W
YDR076W	1	YGR180C
YDR076W	1	YAL021C
YDR076W	1	YLR032W
YDR076W	1	YMR223W
YDR076W	1	YML032C
YDR076W	1	YGR188C
YDR076W	1	YKL139W
YDR076W	1	YBR060C
YDR076W	1	YDL116W
YDR076W	1	YAL024C
YDR076W	1	YER016W
YDR076W	1	YLR182W
YDR076W	1	YJL092W
YDR076W	1	YNL248C
YDR076W	1	YOR005C
YDR076W	1	YOR144C
YDR076W	1	YBR088C
YDR076W	1	YBR087W
YDR076W	1	YML061C
YDR076W	1	YPL153C
YDR076W	1	YER173W
YDR076W	1	YOL094C
YDR076W	1	YIL139C
YDR076W	1	YNL261W
YDR076W	1	YPL020C
YDR076W	1	YDR207C
YDR076W	1	YJR043C
YDR076W	1	YDL013W
YDR076W	1	YDR359C
YDR076W	1	YGR092W
YDR076W	1	YPL167C
YDR076W	1	YDL020C
YDR076W	1	YDR217C
YDR076W	1	YNL273W
YDR076W	1	YLR442C
YDR076W	1	YHR154W
YDR076W	1	YNL147W
YDR076W	1	YMR284W
YDR076W	1	YAR002W
YDR076W	1	YKL057C
YDR076W	1	YGL127C
YDR076W	1	YDL040C
YDR076W	1	YDR378C
YDR076W	1	YHR031C
YDR076W	1	YAR007C
YDR076W	1	YNL298W
YDR076W	1	YLR320W
YDR076W	1	YER083C
YDR076W	1	YNL297C
YDR076W	1	YPL055C
YDR076W	1	YGL003C
YDR076W	1	YHR033W
YDR076W	1	YER087W
YDR076W	1	YDR386W
YDR076W	1	YMR038C
YDR076W	1	YHR191C
YDR076W	1	YER095W
YDR076W	1	YCR066W
YDR076W	1	YDL064W
YDR076W	1	YGL020C
YDR076W	1	YMR048W
YDR076W	1	YOR080W
YDR076W	1	YGL163C
YDR076W	1	YPR135W
YDR076W	1	YJL115W
YDR076W	1	YMR190C
YDR076W	1	YCR077C
YDR076W	1	YGL167C
YDR076W	1	YDL074C
YDR076W	1	YMR198W
YDR076W	1	YNL054W
YDR076W	1	YJL124C
YDR076W	1	YBL051C
YDR076W	1	YPR018W
YDR076W	1	YCR086W
YDR076W	1	YDR004W
YDR076W	1	YBL056W
YDR076W	1	YGL043W
YDR076W	1	YNL072W
YDR076W	1	YLL033W
YDR076W	1	YIR008C
YDR076W	1	YMR078C
YDR076W	1	YPR164W
YDR076W	1	YLR234W
YDR076W	1	YGL058W
YDR076W	1	YLR240W
YDR076W	1	YJL006C
